h,Emin
0.05,0.0012541195994625852
0.051000000000000004,0.0012541194291910002
0.052000000000000005,0.0012541192555476407
0.053000000000000005,0.0012541190785326645
0.054000000000000006,0.0012541188981461146
0.05500000000000001,0.0012541187143880247
0.05600000000000001,0.0012541185272581011
0.057,0.001254118336756641
0.058,0.0012541181428836862
0.059000000000000004,0.0012541179456389807
0.060000000000000005,0.0012541177450226025
0.061000000000000006,0.0012541175410346864
0.062000000000000006,0.0012541173336751948
0.063,0.0012541171229441964
0.064,0.0012541169088414856
0.065,0.0012541166913671994
0.066,0.0012541164705213942
0.067,0.0012541162463041225
0.068,0.001254116018714884
0.069,0.001254115787754485
0.07,0.0012541155534223948
0.07100000000000001,0.0012541153157186594
0.07200000000000001,0.0012541150746435625
0.07300000000000001,0.0012541148301968281
0.07400000000000001,0.0012541145823787101
0.07500000000000001,0.0012541143311886201
0.07600000000000001,0.001254114076627493
0.07700000000000001,0.0012541138186945844
0.07800000000000001,0.0012541135573901974
0.07900000000000001,0.0012541132927144714
0.08000000000000002,0.001254113024667013
0.08100000000000002,0.001254112753248231
0.08200000000000002,0.0012541124784579078
0.08300000000000002,0.0012541122002962255
0.08400000000000002,0.0012541119187629726
0.08500000000000002,0.0012541116338582938
0.08600000000000002,0.001254111345581984
0.08700000000000002,0.0012541110539345396
0.08800000000000001,0.0012541107589154083
0.08900000000000001,0.0012541104605248775
0.09000000000000001,0.0012541101587628355
0.09100000000000001,0.0012541098536295824
0.09200000000000001,0.0012541095451247726
0.09300000000000001,0.0012541092332486624
0.09400000000000001,0.0012541089180010596
0.09500000000000001,0.001254108599382237
0.09600000000000002,0.0012541082773917665
0.09700000000000002,0.0012541079520299776
0.09800000000000002,0.0012541076232968117
0.099,0.001254107291192391
0.1,0.0012541069557166825
0.101,0.0012541066168695642
0.10200000000000001,0.0012541062746510333
0.10300000000000001,0.001254105929061093
0.10400000000000001,0.001254105580100009
0.10500000000000001,0.0012541052277675992
0.10600000000000001,0.0012541048720637524
0.10700000000000001,0.0012541045129888938
0.10800000000000001,0.0012541041505425747
0.10900000000000001,0.001254103784724926
0.11000000000000001,0.0012541034155361295
0.11100000000000002,0.0012541030429758203
0.11200000000000002,0.0012541026670445457
0.11300000000000002,0.0012541022877418577
0.11400000000000002,0.0012541019050680766
0.11500000000000002,0.0012541015190230564
0.11600000000000002,0.001254101129606746
0.11700000000000002,0.0012541007368193449
0.11800000000000002,0.0012541003406606583
0.11900000000000002,0.0012540999411309308
0.12000000000000002,0.0012540995382297336
0.12100000000000002,0.001254099131957443
0.12200000000000003,0.001254098722314104
0.12300000000000003,0.0012540983092996288
0.12400000000000003,0.0012540978929138822
0.125,0.001254097473157286
0.126,0.0012540970500294355
0.127,0.0012540966235302779
0.128,0.0012540961936602967
0.129,0.001254095760419086
0.13,0.0012540953238069368
0.131,0.0012540948838235524
0.132,0.0012540944404692026
0.133,0.0012540939937437648
0.134,0.0012540935436474426
0.135,0.001254093090179825
0.136,0.0012540926333413959
0.137,0.0012540921731320075
0.138,0.0012540917095516088
0.139,0.0012540912426001803
0.14,0.0012540907722777162
0.14100000000000001,0.0012540902985843018
0.14200000000000002,0.0012540898215200966
0.14300000000000002,0.0012540893410847957
0.14400000000000002,0.0012540888572788755
0.14500000000000002,0.001254088370101907
0.14600000000000002,0.001254087879553833
0.14700000000000002,0.0012540873856348887
0.14800000000000002,0.001254086888345215
0.14900000000000002,0.0012540863876847005
0.15000000000000002,0.00125408588365332
